R_Code,R_Descr,R_DryM,R_Water,R_Energy,R_Protein,R_Lipid,R_Cho,R_Fiber,R_Ca,R_Fe,R_Zn,R_VitC,R_Thiamin,R_Riboflavin,R_Niacin,R_VitB_6,R_Folate_food,R_FolicAcid,R_Folate_total,R_Folate_DFE,R_VitB_12,R_VitA_IU,R_VitA_RE,R_Retinol,R_AlphaCarotene,R_BetaCarotene,R_BetaCryptoxanthin
1,"CHEESE,BAKED",1,1,1,1,1,1,1,1,1,1,0.65,0.75,1,1,0.75,0.8,0.8,0.8,0.8,0.55,1,1,1,1,1,1
3,"CHEESE,BROILED",1,1,1,1,1,1,1,1,1,1,0.65,0.75,1,1,0.75,0.8,0.8,0.8,0.8,0.55,1,1,1,1,1,1
5,"CHEESE,COOKED,W/LIQUID",1,1,1,1,1,1,1,1,1,1,0.65,0.75,1,1,0.75,0.8,0.8,0.8,0.8,0.55,1,1,1,1,1,1
7,"CHEESE,REHEATED",1,1,1,1,1,1,1,1,1,1,0.95,0.95,1,1,0.95,0.95,0.95,0.95,0.95,0.95,1,1,1,1,1,1
101,"EGGS,BAKED",1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.95,0.9,0.95,0.75,0.75,0.75,0.75,0.8,1,1,1,1,1,1
103,"EGGS,FRIED,SCRAMBLED",1,1,1,1,1,1,1,1,1,1,0.8,0.85,0.95,0.95,0.95,0.75,0.75,0.75,0.75,0.85,1,1,1,1,1,1
105,"EGGS,HARD,COOKED",1,1,1,1,1,1,1,1,1,1,0.8,0.85,0.95,0.95,0.95,0.75,0.75,0.75,0.75,0.85,1,1,1,1,1,1
107,"EGGS,POACHED",1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.8,1,1,1,1,1,1
109,"EGGS,REHEATED",1,1,1,1,1,1,1,1,1,1,0.95,0.95,1,1,0.95,0.95,0.95,0.95,0.95,0.95,1,1,1,1,1,1
151,"FRUITS,FRESH(NOT-CITRUS),BAKED",1,1,1,1,1,1,1,0.95,1,1,0.8,0.8,0.95,0.9,0.95,0.6,0.6,0.6,0.6,1,0.85,0.85,0.85,0.85,0.85,0.85
152,"FRUITS,FRESH(NOT-CITRUS),BROILED",1,1,1,1,1,1,1,0.95,1,1,0.8,0.8,0.95,0.9,0.95,0.6,0.6,0.6,0.6,1,0.85,0.85,0.85,0.85,0.85,0.85
153,"FRUITS,FRESH(NOT-CITRUS)SAUTEED",1,1,1,1,1,1,1,0.95,1,1,0.7,0.8,0.9,0.9,0.9,0.5,0.5,0.5,0.5,1,0.75,0.75,0.75,0.75,0.75,0.75
154,"FRUITS,CANNED",1,1,1,1,1,1,1,0.95,1,1,0.5,0.8,0.9,0.9,0.9,0.5,0.5,0.5,0.5,1,0.75,0.75,0.75,0.75,0.75,0.75
155,"FRUITS,FRESH(NOT-CITRUS),STEWED",1,1,1,1,1,1,1,0.95,1,1,0.7,0.8,0.9,0.9,0.9,0.5,0.5,0.5,0.5,1,0.75,0.75,0.75,0.75,0.75,0.75
156,"FRUITS,FROZEN",1,1,1,1,1,1,1,0.95,1,1,0.7,0.95,1,1,1,0.95,0.95,0.95,0.95,1,0.95,0.95,0.95,0.95,0.95,0.95
157,"FRUITS,FRESH(NOT-CITRUS),REHEATED",1,1,1,1,1,1,1,1,1,1,0.95,0.95,1,1,1,0.95,0.95,0.95,0.95,1,0.95,0.95,0.95,0.95,0.95,0.95
158,"FRUITS,DRIED",1,1,1,1,1,1,1,1,1,1,0.2,0.7,0.9,0.9,0.9,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5
251,"FRUITS(DRIED),BAKED",1,1,1,1,1,1,1,0.95,1,1,0.8,0.8,0.95,0.9,0.95,0.6,0.6,0.6,0.6,1,0.85,0.85,0.85,0.85,0.85,0.85
253,"FRUITS(DRIED),SAUTEED",1,1,1,1,1,1,1,0.95,1,1,0.7,0.8,0.9,0.9,0.9,0.5,0.5,0.5,0.5,1,0.75,0.75,0.75,0.75,0.75,0.75
255,"FRUITS(DRIED),STEWED",1,1,1,1,1,1,1,0.95,1,1,0.7,0.8,0.9,0.9,0.9,0.5,0.5,0.5,0.5,1,0.75,0.75,0.75,0.75,0.75,0.75
